"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Thu Apr 02 21:02:08 UTC 2026","failed","Thu Apr 02 21:02:08 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","125","06 - CG 150 TITAN-ES","","Thu Apr 02 21:02:08 UTC 2026","failed","Thu Apr 02 21:02:08 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","127","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Thu Apr 02 21:02:08 UTC 2026","failed","Thu Apr 02 21:02:08 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","134","07 - CG 150 TITAN-ES MIX","","Thu Apr 02 21:02:08 UTC 2026","failed","Thu Apr 02 21:02:08 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","131","03 - CG 160 FAN ESDi FLEXONE","","Thu Apr 02 21:02:07 UTC 2026","failed","Thu Apr 02 21:02:07 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","2723","01 - CG 160 FAN Flex","","Thu Apr 02 21:02:04 UTC 2026","failed","Thu Apr 02 21:02:07 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","135","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Thu Apr 02 21:02:07 UTC 2026","failed","Thu Apr 02 21:02:07 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","135","12 - CG 160 START","","Thu Apr 02 21:02:09 UTC 2026","failed","Thu Apr 02 21:02:09 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","116","10 - CG 150 TITAN-EX MIX/FLEX","","Thu Apr 02 21:02:08 UTC 2026","failed","Thu Apr 02 21:02:08 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","145","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Thu Apr 02 21:02:08 UTC 2026","failed","Thu Apr 02 21:02:08 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","125","08 - CG 150 TITAN-ESD MIX/FLEX","","Thu Apr 02 21:02:08 UTC 2026","failed","Thu Apr 02 21:02:08 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","718","11 - CG 150 TITAN-KS/ TITAN-JOB","","Thu Apr 02 21:02:08 UTC 2026","failed","Thu Apr 02 21:02:09 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
