"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5073","01 - CG 160 FAN Flex","","Thu Apr 02 21:17:57 UTC 2026","passed","Thu Apr 02 21:18:02 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","204","11 - CG 150 TITAN-KS/ TITAN-JOB","","Thu Apr 02 21:18:09 UTC 2026","passed","Thu Apr 02 21:18:09 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","1413","03 - CG 160 FAN ESDi FLEXONE","","Thu Apr 02 21:18:05 UTC 2026","passed","Thu Apr 02 21:18:06 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","81","07 - CG 150 TITAN-ES MIX","","Thu Apr 02 21:18:08 UTC 2026","failed","Thu Apr 02 21:18:08 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","193","10 - CG 150 TITAN-EX MIX/FLEX","","Thu Apr 02 21:18:09 UTC 2026","passed","Thu Apr 02 21:18:09 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","168","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Thu Apr 02 21:18:08 UTC 2026","passed","Thu Apr 02 21:18:09 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","363","12 - CG 160 START","","Thu Apr 02 21:18:09 UTC 2026","passed","Thu Apr 02 21:18:09 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","2588","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Thu Apr 02 21:18:02 UTC 2026","passed","Thu Apr 02 21:18:05 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","209","08 - CG 150 TITAN-ESD MIX/FLEX","","Thu Apr 02 21:18:08 UTC 2026","passed","Thu Apr 02 21:18:08 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","1715","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Thu Apr 02 21:18:06 UTC 2026","passed","Thu Apr 02 21:18:08 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","206","06 - CG 150 TITAN-ES","","Thu Apr 02 21:18:08 UTC 2026","passed","Thu Apr 02 21:18:08 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","212","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Thu Apr 02 21:18:08 UTC 2026","passed","Thu Apr 02 21:18:08 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
