"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","927","11 - CG 150 TITAN-KS/ TITAN-JOB","","Sun Mar 01 20:31:44 UTC 2026","passed","Sun Mar 01 20:31:45 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","1913","12 - CG 160 START","","Sun Mar 01 20:31:45 UTC 2026","passed","Sun Mar 01 20:31:47 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","1359","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Sun Mar 01 20:31:37 UTC 2026","passed","Sun Mar 01 20:31:38 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","2007","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Sun Mar 01 20:31:33 UTC 2026","passed","Sun Mar 01 20:31:36 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","958","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Sun Mar 01 20:31:41 UTC 2026","passed","Sun Mar 01 20:31:42 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","1322","06 - CG 150 TITAN-ES","","Sun Mar 01 20:31:39 UTC 2026","passed","Sun Mar 01 20:31:40 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","939","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Sun Mar 01 20:31:38 UTC 2026","passed","Sun Mar 01 20:31:39 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","1825","10 - CG 150 TITAN-EX MIX/FLEX","","Sun Mar 01 20:31:42 UTC 2026","passed","Sun Mar 01 20:31:44 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","7155","01 - CG 160 FAN Flex","","Sun Mar 01 20:31:26 UTC 2026","passed","Sun Mar 01 20:31:33 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","157","08 - CG 150 TITAN-ESD MIX/FLEX","","Sun Mar 01 20:31:41 UTC 2026","failed","Sun Mar 01 20:31:41 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","887","07 - CG 150 TITAN-ES MIX","","Sun Mar 01 20:31:40 UTC 2026","passed","Sun Mar 01 20:31:41 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","1050","03 - CG 160 FAN ESDi FLEXONE","","Sun Mar 01 20:31:36 UTC 2026","passed","Sun Mar 01 20:31:37 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
