"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1340","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Sun Mar 01 20:34:47 UTC 2026","passed","Sun Mar 01 20:34:48 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","892","07 - CG 150 TITAN-ES MIX","","Sun Mar 01 20:34:49 UTC 2026","passed","Sun Mar 01 20:34:50 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","1776","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Sun Mar 01 20:34:45 UTC 2026","passed","Sun Mar 01 20:34:47 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","962","06 - CG 150 TITAN-ES","","Sun Mar 01 20:34:48 UTC 2026","passed","Sun Mar 01 20:34:49 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","1836","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Sun Mar 01 20:34:52 UTC 2026","passed","Sun Mar 01 20:34:53 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","1685","11 - CG 150 TITAN-KS/ TITAN-JOB","","Sun Mar 01 20:34:55 UTC 2026","passed","Sun Mar 01 20:34:57 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","1387","08 - CG 150 TITAN-ESD MIX/FLEX","","Sun Mar 01 20:34:50 UTC 2026","passed","Sun Mar 01 20:34:52 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","5615","01 - CG 160 FAN Flex","","Sun Mar 01 20:34:37 UTC 2026","passed","Sun Mar 01 20:34:43 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","1969","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Sun Mar 01 20:34:43 UTC 2026","passed","Sun Mar 01 20:34:45 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","1360","10 - CG 150 TITAN-EX MIX/FLEX","","Sun Mar 01 20:34:53 UTC 2026","passed","Sun Mar 01 20:34:55 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","2250","12 - CG 160 START","","Sun Mar 01 20:34:57 UTC 2026","passed","Sun Mar 01 20:34:59 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","167","03 - CG 160 FAN ESDi FLEXONE","","Sun Mar 01 20:34:45 UTC 2026","failed","Sun Mar 01 20:34:45 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
