"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1835","10 - CG 150 TITAN-EX MIX/FLEX","","Sun Feb 01 21:06:08 UTC 2026","passed","Sun Feb 01 21:06:10 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","3211","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Sun Feb 01 21:05:54 UTC 2026","passed","Sun Feb 01 21:05:58 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","1640","07 - CG 150 TITAN-ES MIX","","Sun Feb 01 21:06:03 UTC 2026","passed","Sun Feb 01 21:06:04 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","1039","11 - CG 150 TITAN-KS/ TITAN-JOB","","Sun Feb 01 21:06:10 UTC 2026","passed","Sun Feb 01 21:06:11 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","221","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Sun Feb 01 21:06:00 UTC 2026","failed","Sun Feb 01 21:06:01 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","1360","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Sun Feb 01 21:06:06 UTC 2026","passed","Sun Feb 01 21:06:08 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","1567","12 - CG 160 START","","Sun Feb 01 21:06:11 UTC 2026","passed","Sun Feb 01 21:06:12 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","951","03 - CG 160 FAN ESDi FLEXONE","","Sun Feb 01 21:05:58 UTC 2026","passed","Sun Feb 01 21:05:59 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","2883","01 - CG 160 FAN Flex","","Sun Feb 01 21:05:52 UTC 2026","failed","Sun Feb 01 21:05:54 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","1814","06 - CG 150 TITAN-ES","","Sun Feb 01 21:06:01 UTC 2026","passed","Sun Feb 01 21:06:03 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","2240","08 - CG 150 TITAN-ESD MIX/FLEX","","Sun Feb 01 21:06:04 UTC 2026","passed","Sun Feb 01 21:06:06 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","1829","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Sun Feb 01 21:05:59 UTC 2026","passed","Sun Feb 01 21:06:00 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
