"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1753","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Thu Jan 29 01:42:18 UTC 2026","passed","Thu Jan 29 01:42:20 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","2454","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Thu Jan 29 01:42:27 UTC 2026","passed","Thu Jan 29 01:42:30 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","2545","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Thu Jan 29 01:42:14 UTC 2026","passed","Thu Jan 29 01:42:17 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","1403","11 - CG 150 TITAN-KS/ TITAN-JOB","","Thu Jan 29 01:42:31 UTC 2026","passed","Thu Jan 29 01:42:33 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","1331","07 - CG 150 TITAN-ES MIX","","Thu Jan 29 01:42:24 UTC 2026","passed","Thu Jan 29 01:42:26 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","6587","01 - CG 160 FAN Flex","","Thu Jan 29 01:42:07 UTC 2026","passed","Thu Jan 29 01:42:14 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","1731","08 - CG 150 TITAN-ESD MIX/FLEX","","Thu Jan 29 01:42:26 UTC 2026","passed","Thu Jan 29 01:42:27 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","1669","03 - CG 160 FAN ESDi FLEXONE","","Thu Jan 29 01:42:17 UTC 2026","passed","Thu Jan 29 01:42:18 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","1643","12 - CG 160 START","","Thu Jan 29 01:42:33 UTC 2026","passed","Thu Jan 29 01:42:34 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","1891","06 - CG 150 TITAN-ES","","Thu Jan 29 01:42:22 UTC 2026","passed","Thu Jan 29 01:42:24 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","2272","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Thu Jan 29 01:42:20 UTC 2026","passed","Thu Jan 29 01:42:22 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","1400","10 - CG 150 TITAN-EX MIX/FLEX","","Thu Jan 29 01:42:30 UTC 2026","passed","Thu Jan 29 01:42:31 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
