"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1740","10 - CG 150 TITAN-EX MIX/FLEX","","Thu Jan 29 01:40:00 UTC 2026","passed","Thu Jan 29 01:40:02 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","2145","11 - CG 150 TITAN-KS/ TITAN-JOB","","Thu Jan 29 01:40:02 UTC 2026","passed","Thu Jan 29 01:40:04 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","2062","12 - CG 160 START","","Thu Jan 29 01:40:04 UTC 2026","passed","Thu Jan 29 01:40:06 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","1757","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Thu Jan 29 01:39:50 UTC 2026","passed","Thu Jan 29 01:39:52 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","6518","01 - CG 160 FAN Flex","","Thu Jan 29 01:39:39 UTC 2026","passed","Thu Jan 29 01:39:46 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","1793","08 - CG 150 TITAN-ESD MIX/FLEX","","Thu Jan 29 01:39:56 UTC 2026","passed","Thu Jan 29 01:39:58 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","1452","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Thu Jan 29 01:39:49 UTC 2026","passed","Thu Jan 29 01:39:50 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","2114","06 - CG 150 TITAN-ES","","Thu Jan 29 01:39:52 UTC 2026","passed","Thu Jan 29 01:39:54 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","1458","03 - CG 160 FAN ESDi FLEXONE","","Thu Jan 29 01:39:47 UTC 2026","passed","Thu Jan 29 01:39:49 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","1480","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Thu Jan 29 01:39:46 UTC 2026","failed","Thu Jan 29 01:39:47 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","1746","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Thu Jan 29 01:39:58 UTC 2026","passed","Thu Jan 29 01:40:00 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","2307","07 - CG 150 TITAN-ES MIX","","Thu Jan 29 01:39:54 UTC 2026","passed","Thu Jan 29 01:39:56 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
