"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","117","06 - CG 150 TITAN-ES","","Wed May 13 04:31:05 UTC 2026","failed","Wed May 13 04:31:05 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","124","07 - CG 150 TITAN-ES MIX","","Wed May 13 04:31:05 UTC 2026","failed","Wed May 13 04:31:05 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","140","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Wed May 13 04:31:05 UTC 2026","failed","Wed May 13 04:31:05 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","2483","01 - CG 160 FAN Flex","","Wed May 13 04:31:02 UTC 2026","failed","Wed May 13 04:31:04 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","189","03 - CG 160 FAN ESDi FLEXONE","","Wed May 13 04:31:04 UTC 2026","failed","Wed May 13 04:31:05 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","122","11 - CG 150 TITAN-KS/ TITAN-JOB","","Wed May 13 04:31:06 UTC 2026","failed","Wed May 13 04:31:06 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","137","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Wed May 13 04:31:05 UTC 2026","failed","Wed May 13 04:31:05 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","140","08 - CG 150 TITAN-ESD MIX/FLEX","","Wed May 13 04:31:05 UTC 2026","failed","Wed May 13 04:31:05 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","108","12 - CG 160 START","","Wed May 13 04:31:06 UTC 2026","failed","Wed May 13 04:31:06 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","108","10 - CG 150 TITAN-EX MIX/FLEX","","Wed May 13 04:31:05 UTC 2026","failed","Wed May 13 04:31:06 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","204","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Wed May 13 04:31:04 UTC 2026","failed","Wed May 13 04:31:04 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","135","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Wed May 13 04:31:05 UTC 2026","failed","Wed May 13 04:31:05 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
