"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1457","10 - CG 150 TITAN-EX MIX/FLEX","","Sun Feb 01 21:03:23 UTC 2026","passed","Sun Feb 01 21:03:24 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","5663","01 - CG 160 FAN Flex","","Sun Feb 01 21:03:06 UTC 2026","passed","Sun Feb 01 21:03:12 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","1826","06 - CG 150 TITAN-ES","","Sun Feb 01 21:03:16 UTC 2026","passed","Sun Feb 01 21:03:18 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","1925","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Sun Feb 01 21:03:21 UTC 2026","passed","Sun Feb 01 21:03:23 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","1677","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Sun Feb 01 21:03:12 UTC 2026","passed","Sun Feb 01 21:03:13 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","185","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Sun Feb 01 21:03:16 UTC 2026","failed","Sun Feb 01 21:03:16 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","911","03 - CG 160 FAN ESDi FLEXONE","","Sun Feb 01 21:03:13 UTC 2026","passed","Sun Feb 01 21:03:14 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","862","07 - CG 150 TITAN-ES MIX","","Sun Feb 01 21:03:18 UTC 2026","passed","Sun Feb 01 21:03:19 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","1930","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Sun Feb 01 21:03:14 UTC 2026","passed","Sun Feb 01 21:03:16 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","1434","11 - CG 150 TITAN-KS/ TITAN-JOB","","Sun Feb 01 21:03:24 UTC 2026","passed","Sun Feb 01 21:03:25 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","1614","08 - CG 150 TITAN-ESD MIX/FLEX","","Sun Feb 01 21:03:19 UTC 2026","failed","Sun Feb 01 21:03:21 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","1550","12 - CG 160 START","","Sun Feb 01 21:03:26 UTC 2026","passed","Sun Feb 01 21:03:27 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
