"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1703","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Sun Mar 01 20:26:27 UTC 2026","passed","Sun Mar 01 20:26:29 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","1882","12 - CG 160 START","","Sun Mar 01 20:26:30 UTC 2026","passed","Sun Mar 01 20:26:32 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","587","06 - CG 150 TITAN-ES","","Sun Mar 01 20:26:29 UTC 2026","failed","Sun Mar 01 20:26:29 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","821","03 - CG 160 FAN ESDi FLEXONE","","Sun Mar 01 20:26:25 UTC 2026","passed","Sun Mar 01 20:26:26 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","2316","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Sun Mar 01 20:26:23 UTC 2026","passed","Sun Mar 01 20:26:25 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","6474","01 - CG 160 FAN Flex","","Sun Mar 01 20:26:16 UTC 2026","passed","Sun Mar 01 20:26:23 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","122","11 - CG 150 TITAN-KS/ TITAN-JOB","","Sun Mar 01 20:26:30 UTC 2026","failed","Sun Mar 01 20:26:30 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","562","07 - CG 150 TITAN-ES MIX","","Sun Mar 01 20:26:29 UTC 2026","failed","Sun Mar 01 20:26:30 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","106","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Sun Mar 01 20:26:30 UTC 2026","failed","Sun Mar 01 20:26:30 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","119","08 - CG 150 TITAN-ESD MIX/FLEX","","Sun Mar 01 20:26:30 UTC 2026","failed","Sun Mar 01 20:26:30 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","120","10 - CG 150 TITAN-EX MIX/FLEX","","Sun Mar 01 20:26:30 UTC 2026","failed","Sun Mar 01 20:26:30 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","1010","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Sun Mar 01 20:26:26 UTC 2026","passed","Sun Mar 01 20:26:27 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
