"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1519","10 - CG 150 TITAN-EX MIX/FLEX","","Thu Apr 02 21:20:23 UTC 2026","passed","Thu Apr 02 21:20:24 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","141","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Thu Apr 02 21:20:14 UTC 2026","failed","Thu Apr 02 21:20:14 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","1812","11 - CG 150 TITAN-KS/ TITAN-JOB","","Thu Apr 02 21:20:24 UTC 2026","passed","Thu Apr 02 21:20:26 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","151","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Thu Apr 02 21:20:15 UTC 2026","failed","Thu Apr 02 21:20:15 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","142","07 - CG 150 TITAN-ES MIX","","Thu Apr 02 21:20:19 UTC 2026","failed","Thu Apr 02 21:20:19 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","3806","01 - CG 160 FAN Flex","","Thu Apr 02 21:20:10 UTC 2026","failed","Thu Apr 02 21:20:14 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","1552","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Thu Apr 02 21:20:21 UTC 2026","passed","Thu Apr 02 21:20:23 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","990","03 - CG 160 FAN ESDi FLEXONE","","Thu Apr 02 21:20:14 UTC 2026","failed","Thu Apr 02 21:20:15 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","3048","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Thu Apr 02 21:20:15 UTC 2026","passed","Thu Apr 02 21:20:18 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","1496","08 - CG 150 TITAN-ESD MIX/FLEX","","Thu Apr 02 21:20:19 UTC 2026","passed","Thu Apr 02 21:20:21 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","124","12 - CG 160 START","","Thu Apr 02 21:20:26 UTC 2026","failed","Thu Apr 02 21:20:26 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","1111","06 - CG 150 TITAN-ES","","Thu Apr 02 21:20:18 UTC 2026","failed","Thu Apr 02 21:20:19 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
