"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","168","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Thu Apr 02 21:23:19 UTC 2026","passed","Thu Apr 02 21:23:19 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","303","12 - CG 160 START","","Thu Apr 02 21:23:19 UTC 2026","passed","Thu Apr 02 21:23:19 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","4653","01 - CG 160 FAN Flex","","Thu Apr 02 21:23:11 UTC 2026","passed","Thu Apr 02 21:23:16 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","186","10 - CG 150 TITAN-EX MIX/FLEX","","Thu Apr 02 21:23:19 UTC 2026","passed","Thu Apr 02 21:23:19 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","216","08 - CG 150 TITAN-ESD MIX/FLEX","","Thu Apr 02 21:23:18 UTC 2026","passed","Thu Apr 02 21:23:19 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","208","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Thu Apr 02 21:23:16 UTC 2026","passed","Thu Apr 02 21:23:17 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","144","03 - CG 160 FAN ESDi FLEXONE","","Thu Apr 02 21:23:16 UTC 2026","passed","Thu Apr 02 21:23:16 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","1348","07 - CG 150 TITAN-ES MIX","","Thu Apr 02 21:23:17 UTC 2026","passed","Thu Apr 02 21:23:18 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","198","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Thu Apr 02 21:23:17 UTC 2026","passed","Thu Apr 02 21:23:17 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","164","11 - CG 150 TITAN-KS/ TITAN-JOB","","Thu Apr 02 21:23:19 UTC 2026","passed","Thu Apr 02 21:23:19 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","457","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Thu Apr 02 21:23:16 UTC 2026","passed","Thu Apr 02 21:23:16 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","229","06 - CG 150 TITAN-ES","","Thu Apr 02 21:23:17 UTC 2026","passed","Thu Apr 02 21:23:17 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
