"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1138","10 - CG 150 TITAN-EX MIX/FLEX","","Thu Apr 02 20:59:08 UTC 2026","passed","Thu Apr 02 20:59:09 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","159","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Thu Apr 02 20:59:07 UTC 2026","failed","Thu Apr 02 20:59:07 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","149","06 - CG 150 TITAN-ES","","Thu Apr 02 20:59:08 UTC 2026","failed","Thu Apr 02 20:59:08 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","164","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Thu Apr 02 20:59:08 UTC 2026","failed","Thu Apr 02 20:59:08 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","5906","01 - CG 160 FAN Flex","","Thu Apr 02 20:59:01 UTC 2026","passed","Thu Apr 02 20:59:07 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","150","08 - CG 150 TITAN-ESD MIX/FLEX","","Thu Apr 02 20:59:08 UTC 2026","failed","Thu Apr 02 20:59:08 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","161","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Thu Apr 02 20:59:07 UTC 2026","failed","Thu Apr 02 20:59:08 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","170","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Thu Apr 02 20:59:07 UTC 2026","failed","Thu Apr 02 20:59:07 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","177","03 - CG 160 FAN ESDi FLEXONE","","Thu Apr 02 20:59:07 UTC 2026","failed","Thu Apr 02 20:59:07 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","156","07 - CG 150 TITAN-ES MIX","","Thu Apr 02 20:59:08 UTC 2026","failed","Thu Apr 02 20:59:08 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
"","1848","11 - CG 150 TITAN-KS/ TITAN-JOB","","Thu Apr 02 20:59:09 UTC 2026","passed","Thu Apr 02 20:59:11 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","1984","12 - CG 160 START","","Thu Apr 02 20:59:11 UTC 2026","passed","Thu Apr 02 20:59:13 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
